Bureau of Meteorology station number,Location,Latitude,Longitude,Product code,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date,Rainfall category
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,7,0.2,1.0,Y,2012-05-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,8,1.6,1.0,Y,2012-05-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,9,0.2,1.0,Y,2012-05-09,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,10,0.0,0.0,Y,2012-05-10,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,11,2.4,1.0,Y,2012-05-11,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,12,0.0,0.0,Y,2012-05-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,13,20.4,1.0,Y,2012-05-13,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,14,5.0,1.0,Y,2012-05-14,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,15,2.8,1.0,Y,2012-05-15,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,16,1.2,1.0,Y,2012-05-16,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,17,0.0,0.0,Y,2012-05-17,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,18,0.0,0.0,Y,2012-05-18,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,19,2.6,1.0,Y,2012-05-19,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,20,0.6,1.0,Y,2012-05-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,21,0.0,0.0,Y,2012-05-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,22,0.0,0.0,Y,2012-05-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,23,0.6,1.0,Y,2012-05-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,24,0.0,0.0,Y,2012-05-24,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,25,4.6,1.0,Y,2012-05-25,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,26,48.4,1.0,Y,2012-05-26,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,27,6.2,1.0,Y,2012-05-27,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,28,2.0,1.0,Y,2012-05-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,29,0.4,1.0,Y,2012-05-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,30,0.0,0.0,Y,2012-05-30,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,5,31,0.0,0.0,Y,2012-05-31,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,1,0.0,0.0,Y,2012-06-01,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,2,0.0,0.0,Y,2012-06-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,3,1.2,1.0,Y,2012-06-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,5,23.0,2.0,Y,2012-06-05,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,6,2.6,1.0,Y,2012-06-06,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,7,1.2,1.0,Y,2012-06-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,8,0.4,1.0,Y,2012-06-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,9,4.8,1.0,Y,2012-06-09,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,10,3.6,1.0,Y,2012-06-10,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,11,1.2,1.0,Y,2012-06-11,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,12,0.0,0.0,Y,2012-06-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,13,0.0,0.0,Y,2012-06-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,14,0.0,0.0,Y,2012-06-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,15,1.6,1.0,Y,2012-06-15,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,16,0.0,0.0,Y,2012-06-16,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,17,4.0,1.0,Y,2012-06-17,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,18,4.8,1.0,Y,2012-06-18,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,19,6.8,1.0,Y,2012-06-19,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,20,0.0,0.0,Y,2012-06-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,21,31.6,1.0,Y,2012-06-21,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,22,53.0,1.0,Y,2012-06-22,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,23,6.6,1.0,Y,2012-06-23,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,24,2.4,1.0,Y,2012-06-24,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,25,3.4,1.0,Y,2012-06-25,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,26,1.6,1.0,Y,2012-06-26,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,27,0.0,0.0,Y,2012-06-27,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,28,0.0,0.0,Y,2012-06-28,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,29,0.0,0.0,Y,2012-06-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,6,30,5.2,1.0,Y,2012-06-30,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,1,4.0,1.0,Y,2012-07-01,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,2,23.0,1.0,Y,2012-07-02,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,3,16.2,1.0,Y,2012-07-03,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,4,3.8,1.0,Y,2012-07-04,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,5,0.8,1.0,Y,2012-07-05,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,6,0.0,0.0,Y,2012-07-06,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,7,0.0,0.0,Y,2012-07-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,8,0.0,0.0,Y,2012-07-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,7,9,0.8,1.0,Y,2012-07-09,0
